"nta_name","nta_code","total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","preterm_births","smm","gonorrhea","health_ins","medicaid_enroll","late_no_prenatal_care","clinics","community_health_centers","non_pcmd","clinics_and_chc_count","clinics_and_chc_density","non_pcmd_density"
"Brooklyn Heights-Cobble Hill","BK09",23532,51,8.9,73.4,5.7,12,19.6,4,2.2,10,5.4,7.8,196.1,89.2,93,5,1.2,0,0,147,0,0,62.4681285058644
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach","BK17",63459,53.6,7.1,69.7,6.8,16.4,46.5,31.5,12.6,16.6,10.6,8.6,204.3,36.2,92.8,36,7,0,0,86,0,0,13.5520572338045
"Brighton Beach","BK19",33146,53.1,12.4,68.7,1.3,17.5,69.5,58.8,12.1,28.1,7.9,9.9,203.1,18.1,88,49.7,8.8,0,0,242,0,0,73.0103179870874
"Seagate-Coney Island","BK21",29229,53.1,24.9,32,29.8,13.4,34.4,32.3,28.6,37.1,20,12.7,364.3,181.3,91.1,66.8,8.4,1,0,21,1,0.342125970782442,7.18464538643128
"West Brighton","BK23",14977,58.8,0.5,98.2,0.8,0.5,66.5,47.6,6.8,14.7,8.5,8.3,NA,NA,92.6,37.5,5.1,0,0,23,0,0,15.3568805501769
"Homecrest","BK25",43565,51.7,7.3,78.7,0.9,13.1,44.5,31.1,15.6,17.8,9.3,6.6,150.6,11.5,89.9,39.4,3.8,2,0,132,2,0.459084127166303,30.299552392976
"Gravesend","BK26",28944,55,13.9,52.5,9.1,24.5,47,41.7,23.9,23.7,11.9,8.9,217.9,48.4,86.9,47.4,5.5,0,0,11,0,0,3.80044223327805
"Bath Beach","BK27",32002,49.1,15.2,47.2,1.2,36.4,46.8,41.7,25,15.8,7.9,8.1,134.5,21.9,88.4,41,5.8,1,0,24,1,0.312480469970627,7.49953127929504
"Bensonhurst West","BK28",90834,51.3,15.1,44.9,0.7,39.3,55.4,48.8,29.6,19.3,10.6,7.2,139.1,27,86,48.9,4.6,2,0,58,2,0.220181870224806,6.38527423651936
"Bensonhurst East","BK29",61820,50.9,10.9,49,0.7,39.4,57.7,49.3,27.8,15.6,9.9,8,194.7,29.9,85.6,47.8,4.8,1,0,41,1,0.161759948236817,6.63215787770948
"Dyker Heights","BK30",46700,50,10.2,49,0.6,40.3,45.4,38.8,30.1,16,8.9,7.7,159.2,36.4,89.6,42.8,4.8,1,0,54,1,0.214132762312634,11.5631691648822
"Bay Ridge","BK31",84439,52.4,16.8,64.3,1.7,17.2,34.6,22,14.3,17,8.7,8.3,176.7,37.9,89.6,28,5.9,6,2,289,8,0.94742950532337,34.2258908798067
"Sunset Park West","BK32",56422,46.9,64.1,17.2,3.3,15.2,45,44.5,38.2,28,10.1,8.4,217,78,75.7,41.6,4.3,2,2,258,4,0.708943319981568,45.7268441388111
"Carroll Gardens-Columbia Street-Red Hook","BK33",40307,52.5,20.9,60.3,10.3,8.5,16.8,9.2,11.8,15.1,8.2,8.7,175.4,114.1,91.1,18.3,2.5,1,0,24,1,0.248095864241943,5.95430074180663
"Sunset Park East","BK34",72622,49.3,33.6,11.8,1.4,53.2,58.4,60.7,53.5,34.7,11.1,6.2,149.6,48.2,78.9,85.5,3.1,8,3,163,11,1.51469251741896,22.4449891217537
"Stuyvesant Heights","BK35",66124,54.6,19.5,5.8,70.9,3.7,20.6,8.9,24,28.9,17,12.6,481,350.1,86.2,35.3,9.5,0,0,14,0,0,2.11723428709697
"Park Slope-Gowanus","BK37",74526,51.9,18.5,65.1,5.2,11.3,17.6,8.4,7.5,7.6,6.1,7,143.2,107.3,90.8,8.8,1.8,12,1,376,13,1.74435767383195,50.4521911816011
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","BK38",39383,51.4,21.5,44.2,21.2,13.2,18.9,12,14.6,21.2,9.6,9.5,192.8,265.3,91.7,30.1,3.3,1,0,142,1,0.253916664550694,36.0561663661986
"Windsor Terrace","BK40",22033,52.9,14.3,66.2,5.4,14.2,22.4,13.4,9.5,10.2,6.2,6,182.9,68.1,93.4,13.7,1.9,0,0,10,0,0,4.53864657559116
"Kensington-Ocean Parkway","BK41",37013,50.5,16.2,49.8,6.9,27,44.6,36.3,19.2,25.4,7.5,9.3,180.6,54,84.2,49.2,4.8,0,1,25,1,0.270175343798125,6.75438359495312
"Flatbush","BK42",106012,54.6,17.7,22.2,47.5,12.6,47.6,27.2,20.3,20.6,10.6,10.5,305.2,175,83.7,40.6,8.3,4,0,86,4,0.377315775572577,8.1122891748104
"Midwood","BK43",52519,51.2,7.5,76.1,4.4,12,39.1,31.2,13.9,23.3,9.1,6.4,143.7,22.8,89.9,39.2,4.5,0,0,79,0,0,15.0421752127801
"Madison","BK44",40609,50.9,7.8,67.5,1,23.7,48.1,31.7,14.4,14.2,7.2,7.1,202.4,23.4,92.9,34.9,5.1,1,0,116,1,0.246250831096555,28.5650964072004
"Georgetown-Marine Park-Bergen Beach-Mill Basin","BK45",48103,51.6,9.1,70.2,12.3,8.4,27.5,13.8,9,7.7,9.7,8.4,223.3,26,93.1,18.3,2.9,0,0,49,0,0,10.1864748560381
"Ocean Parkway South","BK46",20143,51,8.6,85.5,0.3,5.5,28.6,20.8,13.9,19.8,8.7,6.5,127.4,NA,90.1,36.3,2.3,0,0,49,0,0,24.3260686094425
"Canarsie","BK50",87511,54.7,7.9,4.9,82.5,4.7,46.7,14.1,16.3,15.2,9.7,13.6,445.8,160.6,88.7,30.6,11.3,2,0,53,2,0.228542697489458,6.05638148347065
"Flatlands","BK58",72864,53.6,7.9,16.5,70.3,5.3,43.6,16.2,13.6,11.4,10.3,11.9,395.4,137.2,90.5,25.9,9.9,0,0,224,0,0,30.7422046552481
"Prospect Lefferts Gardens-Wingate","BK60",69695,55.6,9.6,11.7,74.2,4.5,45.4,10.8,18.2,23.4,15.1,11,370.9,276.2,84.9,33.1,10.3,2,1,383,3,0.430446947413731,54.953726953153
"Crown Heights North","BK61",103735,55.3,12.1,12.8,69.9,5.1,32.5,8.8,20.9,29.1,12.7,11.5,372.5,393.8,84.3,38,8.9,6,0,80,6,0.578396876656866,7.71195835542488
"Crown Heights South","BK63",41128,52.8,8.2,26.4,62.5,2.7,35.9,10.9,16.1,21.2,16.4,8.1,234.6,235.8,86.3,36.4,6.4,0,0,21,0,0,5.10601050379304
"Prospect Heights","BK64",20228,51,10.5,51.1,26.5,11.8,24.4,6.9,7.1,9.9,6.4,8.5,179.8,138.4,90.9,14.2,3.1,0,0,21,0,0,10.3816491991299
"Fort Greene","BK68",28721,54.3,21.5,28.2,37.8,12.4,21.9,11.9,18.1,24.1,13.3,10.2,236.7,221.1,88.8,30.6,3.2,2,1,216,3,1.04453187563107,75.2062950454371
"Clinton Hill","BK69",37795,52.5,13.8,38.4,37.8,9.9,18.9,8.3,8.7,19.4,8.9,8.1,231,243.4,87.5,21.5,2.6,0,0,8,0,0,2.11668210080698
"Williamsburg","BK72",32094,49,11,85.4,3.1,0.6,11.7,33.4,30.5,56.5,5.8,4.5,79.1,40.5,94.8,77.9,2.2,1,1,35,2,0.623169439770674,10.9054651959868
"North Side-South Side","BK73",50995,50.1,35.6,53.2,2.4,8.8,24.3,20.3,16.5,22.5,7.1,6.6,158.7,264.7,86.2,30.7,3.7,1,0,42,1,0.196097656633003,8.23610157858614
"Bedford","BK75",71706,51.7,19.3,30.6,45.4,4.7,19.3,15.8,22.5,34.3,13.2,8,235.5,271.2,89,52,5.3,2,1,57,3,0.418375031378127,7.94912559618442
"Greenpoint","BK76",32185,51.4,12.3,77.7,1.8,8.3,32.7,19.8,9.4,12.5,6.9,7.3,124.2,181.8,81.1,16.7,3.4,2,0,50,2,0.62140748796023,15.5351871990057
